date,partner,imports,exports,trade_balance,container_throughput,scenario
2010-01-01,China,601.0705207437109,179.67941576367858,-421.3911049800323,78.07499365073895,high_inflation
2010-01-02,China,600.7883391549038,179.79065104788708,-420.99768810701676,78.0578990202791,high_inflation
2010-01-03,China,600.9845825508743,179.75877832424402,-421.22580422663026,78.07433608751182,high_inflation
2010-01-04,China,601.3367974045514,179.68031160505552,-421.65648579949584,78.1017109009607,high_inflation
2010-01-05,China,600.7206415321655,179.8914595669137,-420.8291819652518,78.06121010990792,high_inflation
2010-01-06,China,599.9916045066788,180.13692711548927,-419.8546773911895,78.0128531622168,high_inflation
2010-01-07,China,601.1646442750839,179.81226435692662,-421.3523799181573,78.09769086320105,high_inflation
2010-01-08,China,600.7959085445387,179.94947615674636,-420.8464323877924,78.07453847012852,high_inflation
2010-01-09,China,600.7832486945846,179.98012329688817,-420.8031253976964,78.07633719914728,high_inflation
2010-01-10,China,600.5002256830313,180.09181975006115,-420.40840593297014,78.05920454330925,high_inflation
2010-01-11,China,599.6797814537656,180.36511827023259,-419.314663183533,78.00448997239982,high_inflation
2010-01-12,China,600.1349221698117,180.25521942869946,-419.8797027411123,78.03901415985112,high_inflation
2010-01-13,China,600.4793568499819,180.17870106351916,-420.3006557864627,78.0658057913501,high_inflation
2010-01-14,China,600.3653867574936,180.23978804146424,-420.1255987160294,78.0605174798958,high_inflation
2010-01-15,China,601.6793365258301,179.8730055766914,-421.80633094913867,78.15523421025216,high_inflation
2010-01-16,China,602.6114963520515,179.62155216254934,-422.9899441895022,78.22330485146009,high_inflation
2010-01-17,China,602.5383004901385,179.67016367743426,-422.86813681270417,78.22084641675728,high_inflation
2010-01-18,China,602.6015500384199,179.67809555599445,-422.9234544824254,78.22796455944143,high_inflation
2010-01-19,China,602.3053351800954,179.7932667330499,-422.5120684470455,78.20986019131453,high_inflation
2010-01-20,China,601.5128974207138,180.05697003962143,-421.45592738109235,78.15698674603352,high_inflation
2010-01-21,China,601.4901371831874,180.0906284131861,-421.39950877000126,78.15807655963735,high_inflation
2010-01-22,China,603.1972611736212,179.6077201891828,-423.5895409844384,78.28049813628041,high_inflation
2010-01-23,China,603.9895582584321,179.39885319219903,-424.5907050662331,78.33884114506311,high_inflation
2010-01-24,China,602.8114296437109,179.7762600774233,-423.03516956628755,78.25876897211343,high_inflation
2010-01-25,China,603.629054187528,179.5595075100828,-424.06954667744526,78.31885616976109,high_inflation
2010-01-26,China,602.955364763269,179.78692028130848,-423.16844448196053,78.27422850445777,high_inflation
2010-01-27,China,603.1174228603032,179.76539471644202,-423.3520281438612,78.28828175767454,high_inflation
2010-01-28,China,602.4171859063409,180.00116642495985,-422.4160194813811,78.24183523313008,high_inflation
2010-01-29,China,601.965895456959,180.16295040397057,-421.8029450529884,78.21288458609295,high_inflation
2010-01-30,China,602.8049523002379,179.93898035919415,-422.86597194104377,78.27439326594322,high_inflation
2010-01-31,China,603.3048136488392,179.81667607508714,-423.48813757375206,78.31214897239263,high_inflation
2010-02-01,China,602.2125494383015,180.16965140209183,-422.04289803620964,78.23822008403934,high_inflation
2010-02-02,China,602.0199568176752,180.25413244021624,-421.7658243774589,78.22740892578915,high_inflation
2010-02-03,China,601.8625125782204,180.328137671038,-421.5343749071824,78.21906502492584,high_inflation
2010-02-04,China,602.7237505219274,180.09728006635413,-422.62647045557327,78.28210305882816,high_inflation
2010-02-05,China,602.0463995879221,180.32675109696092,-421.71964849096116,78.23731506848831,high_inflation
2010-02-06,China,602.2209615593371,180.30132193814197,-421.9196396211951,78.25222834974791,high_inflation
2010-02-07,China,602.2423186628115,180.3217698211568,-421.9205488416547,78.25640884839684,high_inflation
2010-02-08,China,602.2922362423141,180.33366627528426,-421.9585699670298,78.26259025175983,high_inflation
2010-02-09,China,601.9462586597683,180.46417435103558,-421.48208430873274,78.2410433010804,high_inflation
2010-02-10,China,602.3101003415602,180.38200426475584,-421.92809607680437,78.2692104606316,high_inflation
2010-02-11,China,602.333510725684,180.40183842197658,-421.9316723037075,78.27353491476606,high_inflation
2010-02-12,China,602.8709832900802,180.26782902755423,-422.60315426252595,78.31388123176345,high_inflation
2010-02-13,China,603.0200530162497,180.2500837821833,-422.76996923406637,78.3270136798433,high_inflation
2010-02-14,China,603.0357763745138,180.27220299095515,-422.76357338355865,78.3307979365469,high_inflation
2010-02-15,China,602.8915098799192,180.34216769067163,-422.54934218924757,78.32336775705909,high_inflation
2010-02-16,China,602.5912096507831,180.45888322116562,-422.1323264296175,78.30500928719488,high_inflation
2010-02-17,China,602.4205286141362,180.53686353429748,-421.8836650798387,78.29573921484337,high_inflation
2010-02-18,China,603.2042038197291,180.32913096731141,-422.87507285241765,78.35333347870406,high_inflation
2010-02-19,China,603.0077119081532,180.41472090983035,-422.5929909983228,78.34224328179835,high_inflation
2010-02-20,China,603.6368519711876,180.25348675878303,-423.3833652124046,78.38903387299706,high_inflation
